               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.030064,            0.010331,           0.0093627,             0.91232,                0.95,             0.97833,             0.57555,            0.030923,           0.0059478,           0.0059311,              0.0784,              0.0024,              0.0024
                   1,            0.037667,            0.010079,           0.0095947,             0.83923,             0.93938,             0.96238,             0.42836,            0.042032,           0.0056226,           0.0054359,             0.05586,           0.0048596,           0.0048596
                   2,            0.046148,           0.0097973,            0.008218,              0.5799,             0.88009,             0.71327,             0.34633,            0.049575,           0.0055085,           0.0059517,            0.033278,           0.0072779,           0.0072779
                   3,            0.052848,           0.0095775,           0.0090293,             0.69187,                0.85,             0.90455,             0.40141,            0.050818,           0.0056693,           0.0066383,            0.010655,            0.009655,            0.009655
                   4,            0.050784,            0.010155,           0.0097942,             0.68369,              0.7962,             0.78976,             0.42231,            0.046926,           0.0057712,           0.0064896,             0.00967,             0.00967,             0.00967
                   5,            0.047835,            0.010045,           0.0085698,              0.5933,              0.9057,             0.78558,             0.43335,            0.044829,           0.0051553,           0.0055534,             0.00967,             0.00967,             0.00967
                   6,            0.046957,           0.0095542,           0.0074088,             0.68706,             0.99063,             0.83742,             0.40703,            0.045208,           0.0051216,           0.0056847,           0.0095875,           0.0095875,           0.0095875
                   7,            0.044744,             0.00912,           0.0070389,             0.65909,             0.98427,             0.78773,             0.53409,            0.046956,           0.0044711,           0.0053108,            0.009505,            0.009505,            0.009505
                   8,            0.045044,           0.0087158,           0.0062319,             0.87206,                   1,             0.98667,               0.632,            0.036639,           0.0044861,           0.0041779,           0.0094225,           0.0094225,           0.0094225
                   9,            0.044448,           0.0083078,           0.0063251,             0.83044,             0.92626,             0.89333,             0.51195,            0.041118,           0.0042926,           0.0042213,             0.00934,             0.00934,             0.00934
                  10,            0.039783,           0.0080757,           0.0070491,             0.69272,                   1,             0.79928,             0.44614,            0.040114,           0.0041936,           0.0043617,           0.0092575,           0.0092575,           0.0092575
                  11,             0.04046,           0.0077223,           0.0053476,             0.59085,             0.97598,              0.8506,             0.49145,            0.036487,           0.0040954,            0.003756,            0.009175,            0.009175,            0.009175
                  12,            0.040519,           0.0075519,           0.0051921,             0.92945,             0.98906,               0.995,              0.6363,            0.034691,           0.0040674,           0.0037148,           0.0090925,           0.0090925,           0.0090925
                  13,            0.037089,           0.0073117,            0.005114,             0.93883,             0.94261,             0.98667,             0.68209,            0.028684,            0.004115,           0.0035694,             0.00901,             0.00901,             0.00901
                  14,            0.034589,           0.0077792,           0.0057637,             0.96017,             0.98805,               0.995,             0.73716,            0.034132,           0.0036833,           0.0036575,           0.0089275,           0.0089275,           0.0089275
                  15,            0.033152,           0.0068904,           0.0042663,             0.97596,             0.98825,               0.995,             0.48829,            0.036335,           0.0037234,           0.0038399,            0.008845,            0.008845,            0.008845
                  16,            0.034258,           0.0069464,           0.0052175,             0.97756,                   1,               0.995,             0.57897,            0.030434,            0.003573,           0.0035481,           0.0087625,           0.0087625,           0.0087625
                  17,            0.032894,            0.006909,           0.0052268,             0.96074,               0.991,               0.995,             0.62476,            0.033394,           0.0035571,           0.0032276,             0.00868,             0.00868,             0.00868
                  18,            0.033813,           0.0063098,           0.0042972,             0.87574,                   1,               0.995,             0.59044,            0.032989,           0.0035945,           0.0032688,           0.0085975,           0.0085975,           0.0085975
                  19,            0.032604,           0.0062064,           0.0044994,             0.90137,                   1,             0.96643,              0.6455,            0.029792,           0.0034491,           0.0033089,            0.008515,            0.008515,            0.008515
                  20,            0.031668,           0.0066268,           0.0044704,             0.98688,                   1,               0.995,             0.71897,            0.029847,           0.0033449,           0.0027626,           0.0084325,           0.0084325,           0.0084325
                  21,            0.032647,            0.006405,           0.0032139,              0.8723,             0.99305,             0.96167,             0.60337,            0.027712,           0.0034337,           0.0025246,             0.00835,             0.00835,             0.00835
                  22,             0.03009,           0.0061659,           0.0041643,             0.98445,                   1,               0.995,             0.73396,            0.029588,           0.0034019,           0.0027596,           0.0082675,           0.0082675,           0.0082675
                  23,            0.031047,           0.0061386,           0.0044377,               0.983,                   1,               0.995,             0.73199,            0.026101,           0.0032954,           0.0029316,            0.008185,            0.008185,            0.008185
